fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
200728_Fly1_11_Image11_pData_SIMA_only_m.mat		1600	60.25	1698216					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_1_Image1_pData_SIMA_only_m.mat		1600	33.55	1697716					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_2_Image2_pData_SIMA_only_m.mat		1600	44.92	1697716					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_3_Image3_pData_SIMA_only_m.mat		1600	60.35	1697716					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_4_Image4_pData_SIMA_only_m.mat		1600	75.35	1697716					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_5_Image5_pData_SIMA_only_m.mat		1600	43981	1641406					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_6_Image6_pData_SIMA_only_m.mat		1600	45.48	1641406					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_7_Image7_pData_SIMA_only_m.mat		1600	60.25	1641406					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200728_Fly1_8_Image8_pData_SIMA_only_m.mat		1600	75.75	1641406					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	569	1	0	0	0	0	0
200729_Fly1_11_Image11_pData_SIMA_only_m.mat		1700	60.42	1651967					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	570	1	0	0	0	0	0
200729_Fly1_1_Image1_pData_SIMA_only_m.mat		1700	30.73	1651206					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	570	1	0	0	0	0	0
200729_Fly1_2_Image2_pData_SIMA_only_m.mat		1700	45.48	1651206					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	570	1	0	0	0	0	0
200729_Fly1_3_Image3_pData_SIMA_only_m.mat		1700	60.12	1651206					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	570	1	0	0	0	0	0
200729_Fly1_4_Image4_pData_SIMA_only_m.mat		1700	75.18	1651206					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	570	1	0	0	0	0	0
200729_Fly1_5_Image5_pData_SIMA_only_m.mat		1700	29.45	1594935					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	570	1	0	0	0	0	0
200729_Fly1_6_Image6_pData_SIMA_only_m.mat		1700	45.42	1594935					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	570	1	0	0	0	0	0
