fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
180417_Fly1_Image4_pData_SIMA_only_m.mat		800	33.28	1084469					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	165	1	0	0	0	0	0
180417_Fly1_Image6_pData_SIMA_only_m.mat		800	33.28	1084469					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	165	1	0	0	0	0	0
180417_Fly2_Image2_pData_SIMA_only_m.mat		1000	41.5	1385379					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	166	1	0	0	0	0	0
180417_Fly2_Image4_pData_SIMA_only_m.mat		1000	41.5	1385379					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	166	1	0	0	0	0	0
180422_Fly3_Image2_pData_SIMA_only_m.mat		1000	48.75	1385928					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	171	1	0	0	0	0	0
180422_Fly3_Image4_pData_SIMA_only_m.mat		1000	48.75	1385928					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	171	1	0	0	0	0	0
180424_Fly4_Image2_pData_SIMA_only_m.mat		700	48.73	978039					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	174	1	0	0	0	0	0
180424_Fly4_Image4_pData_SIMA_only_m.mat		700	48.73	978039					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	174	1	0	0	0	0	0
180427_Fly4_Image2_pData_SIMA_only_m.mat		600	32.65	958612					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	181	1	0	0	0	0	0
180427_Fly4_Image4_pData_SIMA_only_m.mat		600	32.65	958612					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	181	1	0	0	0	0	0
180502_Fly2_Image4_pData_SIMA_only_m.mat		700	34.83	941375					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	183	1	0	0	0	0	0
180502_Fly2_Image6_pData_SIMA_only_m.mat		700	32.78	941375					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	183	1	0	0	0	0	0
180503_Fly1_Image2_pData_SIMA_only_m.mat		600	31.93	908011					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	184	1	0	0	0	0	0
180503_Fly1_Image4_pData_SIMA_only_m.mat		600	31.93	908011					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	184	1	0	0	0	0	0
180503_Fly3_Image2_pData_SIMA_only_m.mat		650	43340	903559					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	186	1	0	0	0	0	0
180503_Fly3_Image4_pData_SIMA_only_m.mat		650	35.23	903559					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	186	1	0	0	0	0	0
180509_Fly3_Image4_pData_SIMA_only_m.mat		800	44.1	942937					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	195	1	0	0	0	0	0
180509_Fly3_Image6_pData_SIMA_only_m.mat		800	44.1	942937					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	195	1	0	0	0	0	0
180510_Fly3_Image4_pData_SIMA_only_m.mat		700	111.55	95253					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	199	1	0	0	0	0	0
180510_Fly3_Image6_pData_SIMA_only_m.mat		700	111.55	95253					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		R59E08lexA>>GCaMP6f_UASKirControl	0		482	199	1	0	0	0	0	0
